study_id,duration_category,frequency_reported
https://doi.org/10.3389/frsus.2025.1684196,NR,0
https://doi.org/10.3389/frwa.2021.654493,intermediate,0
https://doi.org/10.3390/ijerph17082818,intermediate,0
https://doi.org/10.3390/ijerph20176708,intermediate,0
https://doi.org/10.3390/land11122130,short,0
https://doi.org/10.3390/land12020415,intermediate,0
https://doi.org/10.3390/land12030637,ongoing,0
https://doi.org/10.3390/su11030647,single,0
https://doi.org/10.3390/su13168937,long,0
https://doi.org/10.3390/urbansci8010009,long,0
https://doi.org/10.3390/w11040738,intermediate,0
https://doi.org/10.3390/w15152712,long,0
https://doi.org/10.35844/001c.35632,long,1
https://doi.org/10.3828/tpr.2018.40,ongoing,1
https://doi.org/10.4000/espacepolitique.7878,ongoing,1
https://doi.org/10.46467/TdD39.2023.208-227,ongoing,0
https://doi.org/10.5130/ijcre.v17i1.8881,ongoing,0
https://doi.org/10.5195/jyd.2018.621,long,1
https://doi.org/10.5209/aguc.90583,NR,0
https://doi.org/10.5304/jafscd.2018.08A.010,intermediate,0
https://doi.org/10.5304/jafscd.2024.133.017,ongoing,0
https://doi.org/10.5379/urbani-izziv-en-2015-26-supplement-006,ongoing,1
https://doi.org/10.5751/ES-12432-260417,NR,0
https://doi.org/10.5964/jspp.v4i1.526,short,0
https://doi.org/10.3763/ijas.2009.0467,long,1
https://doi.org/10.1089/eco.2023.0075,short,1
https://doi.org/10.1007/s10661-025-13628-z,long,0
https://doi.org/10.1093/ijlct/ctae068,NR,0
https://doi.org/10.1007/s00267-021-01565-9,intermediate,0
https://doi.org/10.1080/14660466.2019.1568121,single,0
https://doi.org/10.1080/09640568.2023.2166818,NR,0
https://doi.org/10.1017/S1742170517000643,intermediate,1
https://doi.org/10.1080/13504509.2021.1920060,short,0
https://doi.org/10.1017/S1742170518000388,intermediate,1
https://doi.org/10.1080/21683565.2017.1331178,intermediate,0
https://doi.org/10.1177/23998083251323671,NR,0
https://doi.org/10.1080/00049158.2024.2422651,short,0
https://doi.org/10.1080/23748834.2025.2523714,short,0
https://doi.org/10.1007/s10708-023-10880-z,NR,0
https://doi.org/10.1080/09654313.2023.2263053,NR,0
https://doi.org/10.1080/07352166.2019.1607746,NR,0
https://doi.org/10.1002/2017WR020926,intermediate,0
https://doi.org/10.1007/s11355-013-0233-8,long,0
https://doi.org/10.1007/s11252-013-0304-5,intermediate,0
https://doi.org/10.1002/ppp3.70129,long,0
https://doi.org/10.1080/23748834.2020.1763892,intermediate,0
